 a	 b	 c	 d	 e	f	 g
Dog	Fever	Diarrhea	Vomiting	Weight loss	Dehydration	0
Dog	Fever	Diarrhea	Coughing	Tiredness	Pains	1
Dog	Fever	Diarrhea	Coughing	Vomiting	Anorexia	2
Dog	Fever	Difficulty breathing	Coughing	Lethargy	Sneezing	3
Dog	Fever	Diarrhea	Coughing	Lethargy	Blue Eye	3
Dog	Fever	Respiratory distress	Seizuers	Hyperesthesia	Sudden death	0
Dog	Ulcers	Diarrhea	Poor Appetite	Tarry Stool	Enlarged lymph nodes	1
Dog	Facial Swelling	Bloody Drool	Foul Breath	Unable To Eat	Lossened Teeth	0
Dog	Fever	Difficulty breathing	Thrist and urination	Weight loss	Enlarged lymph nodes or Swelling	2
Dog	Swelling on leg	Painfull	Nasal Discharge	Broken Bones	Nasal Discharge	3
Dog	Short term lethargy	Loss of  appetite	Weekness in the back legs	Rapid Heart Rate	Week pulse	1
Dog	Swollen lymph nodes	Difficulty walking	Back Pain	Lethargy	Vaginal Discharge	2
Dog	Fever	Diarrhea	Abdominal pain	Stiffness	Severe weekness and depression	3
Dog	Fever	Loss of  appetite	Reduce Energy	Lameness	Swelling of joints	0
